Identifiant_de_l_etablissement,Etablissement,Libellé académie,Libellé département,Libellé commune,Secteur,Candidats au DNB Série générale,Note Brute Série générale Note ecrit
0762459K,COLLEGE NELSON MANDELA,NORMANDIE,SEINE MARITIME,ELBEUF,PU,143,"9,2"
0762461M,COLLEGE JEAN RENOIR,NORMANDIE,SEINE MARITIME,GRAND COURONNE,PU,68,"9,8"
0762563Y,COLLEGE PRIVE FENELON,NORMANDIE,SEINE MARITIME,ELBEUF,PR,170,"12,5"
0762564Z,COLLEGE PRIVE SAINT JOSEPH,NORMANDIE,SEINE MARITIME,LE HAVRE,PR,268,"13,4"
0762565A,COLLEGE PRIVE LA PROVIDENCE,NORMANDIE,SEINE MARITIME,LE MESNIL ESNARD,PR,134,"12,8"
0762566B,COLLEGE PRIVE JEAN-BAPTISTE DE LA SALLE,NORMANDIE,SEINE MARITIME,ROUEN,PR,136,"14,4"
0762568D,COLLEGE PRIVE DU SACRE-COEUR,NORMANDIE,SEINE MARITIME,ROUEN,PR,127,"11,9"
0762569E,COLLEGE PRIVE LA PROVIDENCE,NORMANDIE,SEINE MARITIME,DIEPPE,PR,89,"12,6"
0762598L,COLLEGE GEORGES BRASSENS,NORMANDIE,SEINE MARITIME,EPOUVILLE,PU,128,"12,0"
0762679Z,COLLEGE JACQUES BREL,NORMANDIE,SEINE MARITIME,CLEON,PU,66,"9,6"
0762738N,COLLEGE DE LA COTE BLANCHE,NORMANDIE,SEINE MARITIME,LILLEBONNE,PU,74,"9,1"
0762764S,COLLEGE ANDRE MARIE,NORMANDIE,SEINE MARITIME,BARENTIN,PU,123,"10,7"
0762816Y,COLLEGE MASSEOT ABAQUESNE,NORMANDIE,SEINE MARITIME,BOOS,PU,133,"12,3"
0762861X,COLLEGE JEAN MONNET,NORMANDIE,SEINE MARITIME,GRUCHET LE VALASSE,PU,80,"9,7"
0762919K,COLLEGE JACQUES-YVES COUSTEAU,NORMANDIE,SEINE MARITIME,CAUDEBEC LES ELBEUF,PU,104,"8,0"
0763368Y,COLLEGE LUCIE AUBRAC,NORMANDIE,SEINE MARITIME,ISNEAUVILLE,PU,136,"12,0"
0763406P,COLLEGE PRIVE JEAN-PAUL II,NORMANDIE,SEINE MARITIME,ROUEN,PR,130,"14,6"
0770002J,COLLEGE DENECOURT,CRETEIL,SEINE-ET-MARNE,BOIS LE ROI,PU,146,"13,4"
0770003K,COLLEGE JEAN ROSTAND,CRETEIL,SEINE-ET-MARNE,BRAY SUR SEINE,PU,112,"10,1"
0770005M,COLLEGE JEAN JAURES,CRETEIL,SEINE-ET-MARNE,BROU SUR CHANTEREINE,PU,66,"8,7"
0770009S,COLLEGE BLANCHE DE CASTILLE,CRETEIL,SEINE-ET-MARNE,LA CHAPELLE LA REINE,PU,131,"10,3"
0770010T,COLLEGE PIERRE ROUX,CRETEIL,SEINE-ET-MARNE,CHATEAU LANDON,PU,69,"8,5"
0770013W,COLLEGE CAMILLE COROT,CRETEIL,SEINE-ET-MARNE,CHELLES,PU,149,"9,8"
0770014X,COLLEGE PARC DES TOURELLES,CRETEIL,SEINE-ET-MARNE,CLAYE SOUILLY,PU,132,"11,5"
0770019C,COLLEGE ROBERT DOISNEAU,CRETEIL,SEINE-ET-MARNE,DAMMARIE LES LYS,PU,134,"9,4"
0770020D,COLLEGE DU MONTOIS,CRETEIL,SEINE-ET-MARNE,DONNEMARIE DONTILLY,PU,98,"11,4"
0770024H,COLLEGE LA ROCHEFOUCAULD,CRETEIL,SEINE-ET-MARNE,LA FERTE SOUS JOUARRE,PU,197,"9,3"
0770027L,COLLEGE MARCEL RIVIERE,CRETEIL,SEINE-ET-MARNE,LAGNY SUR MARNE,PU,131,"11,1"
0770030P,COLLEGE JACQUES PREVERT,CRETEIL,SEINE-ET-MARNE,LORREZ LE BOCAGE PREAUX,PU,103,"9,8"
0770032S,COLLEGE PARC FROT,CRETEIL,SEINE-ET-MARNE,MEAUX,PU,155,"9,3"
0770033T,COLLEGE LES CAPUCINS,CRETEIL,SEINE-ET-MARNE,MELUN,PU,74,"9,4"
0770038Y,COLLEGE ALFRED SISLEY,CRETEIL,SEINE-ET-MARNE,MORET LOING ET ORVANNE,PU,157,"12,2"
0770040A,COLLEGE RENE BARTHELEMY,CRETEIL,SEINE-ET-MARNE,NANGIS,PU,175,"8,9"
0770048J,COLLEGE EMILE CHEVALLIER,CRETEIL,SEINE-ET-MARNE,SOUPPES SUR LOING,PU,73,"8,6"
0770051M,COLLEGE JEAN-BAPTISTE VERMAY,CRETEIL,SEINE-ET-MARNE,TOURNAN EN BRIE,PU,202,"10,9"
0770053P,COLLEGE ELSA TRIOLET,CRETEIL,SEINE-ET-MARNE,VARENNES SUR SEINE,PU,123,"10,3"
0770057U,COLLEGE LES CREUSOTTES,CRETEIL,SEINE-ET-MARNE,VILLENEUVE SUR BELLOT,PU,92,"9,0"
0770059W,COLLEGE LES TOURNELLES,CRETEIL,SEINE-ET-MARNE,VILLIERS ST GEORGES,PU,83,"9,4"
0770928R,COLLEGE INTERNATIONAL,CRETEIL,SEINE-ET-MARNE,FONTAINEBLEAU,PU,231,"12,9"
0771029A,COLLEGE HENRI DUNANT,CRETEIL,SEINE-ET-MARNE,MEAUX,PU,164,"9,0"
0771068T,COLLEGE ROSA BONHEUR,CRETEIL,SEINE-ET-MARNE,LE CHATELET EN BRIE,PU,111,"10,4"
0771070V,COLLEGE FREDERIC CHOPIN,CRETEIL,SEINE-ET-MARNE,MELUN,PU,64,"7,1"
0771172F,COLLEGE ALBERT CAMUS,CRETEIL,SEINE-ET-MARNE,MEAUX,PU,82,"9,2"
0771173G,COLLEGE HENRI IV,CRETEIL,SEINE-ET-MARNE,MEAUX,PU,135,"10,6"
0771174H,COLLEGE PIERRE DE MONTEREAU,CRETEIL,SEINE-ET-MARNE,MONTEREAU FAULT YONNE,PU,122,"10,2"
0771175J,COLLEGE CONDORCET,CRETEIL,SEINE-ET-MARNE,PONTAULT COMBAULT,PU,216,"10,8"
0771176K,COLLEGE JULES VERNE,CRETEIL,SEINE-ET-MARNE,PROVINS,PU,87,"9,9"
0771177L,COLLEGE RENE GOSCINNY,CRETEIL,SEINE-ET-MARNE,VAIRES SUR MARNE,PU,166,"11,0"
0771178M,COLLEGE LA MARE AUX CHAMPS,CRETEIL,SEINE-ET-MARNE,VAUX LE PENIL,PU,164,"11,0"
0771216D,COLLEGE PRIVE SAINTE CROIX,CRETEIL,SEINE-ET-MARNE,PROVINS,PR,104,"12,4"
0771217E,COLLEGE PRIVE CAMPUS SAINTE THERESE,CRETEIL,SEINE-ET-MARNE,OZOIR LA FERRIERE,PR,225,"14,1"
0771218F,COLLEGE PRIVE STE MARIE - LA ROCHE AUX COQS,CRETEIL,SEINE-ET-MARNE,SAINT PIERRE LES NEMOURS,PR,88,"11,2"
0771220H,COLLEGE PRIVE SAINTE MARIE,CRETEIL,SEINE-ET-MARNE,MELUN,PR,94,"14,0"
0771222K,COLLEGE PRIVE SAINTE CELINE,CRETEIL,SEINE-ET-MARNE,LA FERTE SOUS JOUARRE,PR,123,"12,1"
0771225N,COLLEGE PRIVE SAINTE COLOMBE,CRETEIL,SEINE-ET-MARNE,BRIE COMTE ROBERT,PR,47,"13,1"
0771233X,COLLEGE PRIVE INSTITUTION SAINTE FOY,CRETEIL,SEINE-ET-MARNE,COULOMMIERS,PR,47,"12,6"
0771236A,COLLEGE PRIVE SAINTE THERESE,CRETEIL,SEINE-ET-MARNE,COUILLY PONT AUX DAMES,PR,54,"11,9"
0771331D,COLLEGE PAUL LANGEVIN,CRETEIL,SEINE-ET-MARNE,MITRY MORY,PU,131,"9,6"
0771333F,COLLEGE GERARD PHILIPE,CRETEIL,SEINE-ET-MARNE,VILLEPARISIS,PU,95,"8,9"
0771334G,COLLEGE GERARD PHILIPE,CRETEIL,SEINE-ET-MARNE,OZOIR LA FERRIERE,PU,169,"10,7"
0771337K,COLLEGE ELSA TRIOLET,CRETEIL,SEINE-ET-MARNE,LE MEE SUR SEINE,PU,164,"9,1"
0771339M,COLLEGE PIERRE BROSSOLETTE,CRETEIL,SEINE-ET-MARNE,MELUN,PU,173,"9,0"
0771342R,COLLEGE FERNAND GREGH,CRETEIL,SEINE-ET-MARNE,CHAMPAGNE SUR SEINE,PU,142,"10,6"
0771361L,COLLEGE LOUIS BRAILLE,CRETEIL,SEINE-ET-MARNE,ESBLY,PU,162,"11,3"
0771362M,COLLEGE CAMILLE SAINT SAENS,CRETEIL,SEINE-ET-MARNE,LIZY SUR OURCQ,PU,100,"10,0"
0771363N,COLLEGE ARTHUR CHAUSSY,CRETEIL,SEINE-ET-MARNE,BRIE COMTE ROBERT,PU,190,"10,2"
0771365R,COLLEGE JEAN VILAR,CRETEIL,SEINE-ET-MARNE,VERT ST DENIS,PU,209,"10,8"
0771419Z,COLLEGE JEAN MOULIN,CRETEIL,SEINE-ET-MARNE,PONTAULT COMBAULT,PU,153,"10,3"
0771420A,COLLEGE BEAUMARCHAIS,CRETEIL,SEINE-ET-MARNE,MEAUX,PU,138,"8,6"
0771421B,COLLEGE LES HYVERNEAUX,CRETEIL,SEINE-ET-MARNE,LESIGNY,PU,197,"11,0"
0771422C,COLLEGE DE LA VALLEE,CRETEIL,SEINE-ET-MARNE,AVON,PU,111,"10,1"
0771424E,COLLEGE LUCIEN CEZARD,CRETEIL,SEINE-ET-MARNE,FONTAINEBLEAU,PU,113,"11,7"
0771471F,COLLEGE PIERRE WECZERKA,CRETEIL,SEINE-ET-MARNE,CHELLES,PU,224,"9,3"
0771472G,COLLEGE LE MOULIN A VENT,CRETEIL,SEINE-ET-MARNE,THORIGNY SUR MARNE,PU,144,"11,0"
0771475K,COLLEGE LES AULNES,CRETEIL,SEINE-ET-MARNE,COMBS LA VILLE,PU,147,"10,8"
0771476L,COLLEGE GEORGES POLITZER,CRETEIL,SEINE-ET-MARNE,DAMMARIE LES LYS,PU,132,"8,9"
0771478N,COLLEGE ARTHUR RIMBAUD,CRETEIL,SEINE-ET-MARNE,NEMOURS,PU,95,"9,2"
0771511Z,COLLEGE ARMAND LANOUX,CRETEIL,SEINE-ET-MARNE,CHAMPS SUR MARNE,PU,135,"9,6"
0771513B,COLLEGE HIPPOLYTE REMY,CRETEIL,SEINE-ET-MARNE,COULOMMIERS,PU,139,"11,4"
0771514C,COLLEGE DES REMPARTS,CRETEIL,SEINE-ET-MARNE,ROZAY EN BRIE,PU,143,"10,7"
0771515D,COLLEGE LELORGNE DE SAVIGNY,CRETEIL,SEINE-ET-MARNE,PROVINS,PU,135,"10,4"
0771517F,COLLEGE FRANCOIS VILLON,CRETEIL,SEINE-ET-MARNE,SAINT FARGEAU PONTHIERRY,PU,195,"9,9"
0771518G,COLLEGE LOUIS ARMAND,CRETEIL,SEINE-ET-MARNE,SAVIGNY LE TEMPLE,PU,155,"9,1"
0771519H,COLLEGE LOUISE MICHEL,CRETEIL,SEINE-ET-MARNE,FAREMOUTIERS,PU,147,"11,0"
0771562E,COLLEGE JEAN-JACQUES ROUSSEAU,CRETEIL,SEINE-ET-MARNE,OTHIS,PU,171,"10,0"
0771563F,COLLEGE EUGENE DELACROIX,CRETEIL,SEINE-ET-MARNE,ROISSY EN BRIE,PU,187,"10,4"
0771567K,COLLEGE PAUL ELUARD,CRETEIL,SEINE-ET-MARNE,MONTEREAU FAULT YONNE,PU,156,"10,3"
0771615M,COLLEGE GEORGES BRASSENS,CRETEIL,SEINE-ET-MARNE,SAINT MARD,PU,148,"9,6"
0771618R,COLLEGE LES MAILLETTES,CRETEIL,SEINE-ET-MARNE,MOISSY CRAMAYEL,PU,145,"9,0"
0771619S,COLLEGE CHARLES PEGUY,CRETEIL,SEINE-ET-MARNE,VERNEUIL L ETANG,PU,136,"10,6"
0771620T,COLLEGE NICOLAS FOUQUET,CRETEIL,SEINE-ET-MARNE,MORMANT,PU,188,"9,7"
0771621U,COLLEGE HONORE DE BALZAC,CRETEIL,SEINE-ET-MARNE,NEMOURS,PU,95,"9,8"
0771656G,COLLEGE L'ARCHE GUEDON,CRETEIL,SEINE-ET-MARNE,TORCY,PU,139,"9,4"
0771657H,COLLEGE ANCEAU DE GARLANDE,CRETEIL,SEINE-ET-MARNE,ROISSY EN BRIE,PU,127,"10,8"
0771659K,COLLEGE LA PLAINE DES GLACIS,CRETEIL,SEINE-ET-MARNE,LA FERTE SOUS JOUARRE,PU,107,"10,3"
0771661M,COLLEGE JEAN CAMPIN,CRETEIL,SEINE-ET-MARNE,LA FERTE GAUCHER,PU,152,"9,8"
0771662N,COLLEGE LE GRAND PARC,CRETEIL,SEINE-ET-MARNE,CESSON,PU,108,"11,7"
0771667U,COLLEGE MON PLAISIR,CRETEIL,SEINE-ET-MARNE,CRECY LA CHAPELLE,PU,161,"10,5"
0771759U,COLLEGE DE L'EUROPE,CRETEIL,SEINE-ET-MARNE,CHELLES,PU,167,"10,1"
0771760V,COLLEGE MADAME DE LA FAYETTE,CRETEIL,SEINE-ET-MARNE,COULOMMIERS,PU,114,"8,5"
0771761W,COLLEGE ANDRE MALRAUX,CRETEIL,SEINE-ET-MARNE,MONTEREAU,PU,114,"8,9"
0771762X,COLLEGE JACQUES AMYOT,CRETEIL,SEINE-ET-MARNE,MELUN,PU,144,"9,2"
0771766B,COLLEGE BEAU SOLEIL,CRETEIL,SEINE-ET-MARNE,CHELLES,PU,145,"10,0"
0771768D,COLLEGE LES 4 ARPENTS,CRETEIL,SEINE-ET-MARNE,LAGNY SUR MARNE,PU,109,"10,7"
0771770F,COLLEGE JACQUES PREVERT,CRETEIL,SEINE-ET-MARNE,REBAIS,PU,130,"9,7"
0771841H,COLLEGE LE LUZARD,CRETEIL,SEINE-ET-MARNE,MARNE LA VALLEE,PU,117,"8,8"
0771878Y,COLLEGE JACQUES MONOD,CRETEIL,SEINE-ET-MARNE,VILLEPARISIS,PU,146,"9,9"
0771911J,COLLEGE LES TILLEULS,CRETEIL,SEINE-ET-MARNE,CLAYE SOUILLY,PU,144,"11,3"
0771912K,COLLEGE JEAN DES BARRES,CRETEIL,SEINE-ET-MARNE,OISSERY,PU,148,"10,4"
0771917R,COLLEGE PRIVE COURS BAUTAIN,CRETEIL,SEINE-ET-MARNE,JUILLY,PR,106,"12,5"
0771918S,COLLEGE PRIVE ST LAURENT-LA PAIX NOTRE DAME,CRETEIL,SEINE-ET-MARNE,LAGNY SUR MARNE,PR,299,"13,8"
0771921V,COLLEGE PRIVE SAINTE MARIE,CRETEIL,SEINE-ET-MARNE,MEAUX,PR,314,"13,3"
0771923X,COLLEGE PRIVE JEANNE D'ARC,CRETEIL,SEINE-ET-MARNE,MELUN,PR,179,"12,8"
0771925Z,COLLEGE PRIVE ICEF JEANNE D'ARC,CRETEIL,SEINE-ET-MARNE,FONTAINEBLEAU,PR,162,"13,6"
0771926A,COLLEGE PRIVE GUY GASNIER-SAINTE BATHILDE,CRETEIL,SEINE-ET-MARNE,CHELLES,PR,161,"12,2"
0771930E,COLLEGE PRIVE NAZARETH,CRETEIL,SEINE-ET-MARNE,VOISENON,PR,206,"12,8"
0771959L,COLLEGE LES CITES UNIES,CRETEIL,SEINE-ET-MARNE,COMBS LA VILLE,PU,154,"10,5"
0771960M,COLLEGE HENRI WALLON,CRETEIL,SEINE-ET-MARNE,SAVIGNY LE TEMPLE,PU,135,"9,9"
0771991W,COLLEGE LOUIS ARAGON,CRETEIL,SEINE-ET-MARNE,TORCY,PU,103,"8,5"
0771992X,COLLEGE LA MAILLIERE,CRETEIL,SEINE-ET-MARNE,LOGNES,PU,106,"10,9"
0771993Y,COLLEGE GEORGES BRASSENS,CRETEIL,SEINE-ET-MARNE,BRIE COMTE ROBERT,PU,104,"9,7"
0772056S,COLLEGE JEAN DE LA FONTAINE,CRETEIL,SEINE-ET-MARNE,LE MEE SUR SEINE,PU,119,"9,5"
0772090D,COLLEGE JEAN WIENER,CRETEIL,SEINE-ET-MARNE,CHAMPS SUR MARNE,PU,85,"10,0"
0772091E,COLLEGE LE BOIS DE L'ENCLUME,CRETEIL,SEINE-ET-MARNE,TRILPORT,PU,120,"10,8"
0772119K,COLLEGE VAN GOGH,CRETEIL,SEINE-ET-MARNE,EMERAINVILLE,PU,84,"10,8"
0772125S,COLLEGE LE SEGRAIS,CRETEIL,SEINE-ET-MARNE,LOGNES,PU,101,"9,4"
0772126T,COLLEGE ROBERT BURON,CRETEIL,SEINE-ET-MARNE,NANDY,PU,113,"9,7"
0772128V,COLLEGE SAINT LOUIS,CRETEIL,SEINE-ET-MARNE,LIEUSAINT,PU,80,"9,4"
0772154Y,COLLEGE LEONARD DE VINCI,CRETEIL,SEINE-ET-MARNE,SAINT THIBAULT DES VIGNES,PU,133,"10,7"
0772189L,COLLEGE HUTINEL,CRETEIL,SEINE-ET-MARNE,GRETZ ARMAINVILLIERS,PU,137,"10,3"
0772190M,COLLEGE DE L'EUROPE,CRETEIL,SEINE-ET-MARNE,DAMMARTIN EN GOELE,PU,176,"9,9"
0772191N,COLLEGE LA BOETIE,CRETEIL,SEINE-ET-MARNE,MOISSY CRAMAYEL,PU,126,"10,9"
0772226B,COLLEGE JACQUES-YVES COUSTEAU,CRETEIL,SEINE-ET-MARNE,BUSSY ST GEORGES,PU,131,"11,1"
0772227C,COLLEGE STEPHANE MALLARME,CRETEIL,SEINE-ET-MARNE,FONTENAY TRESIGNY,PU,125,"10,6"
0772246Y,COLLEGE LE CHAMPIVERT,CRETEIL,SEINE-ET-MARNE,CROUY SUR OURCQ,PU,64,"7,9"
0772247Z,COLLEGE GEORGE SAND,CRETEIL,SEINE-ET-MARNE,MOUROUX,PU,110,"10,2"
0772248A,COLLEGE GEORGE SAND,CRETEIL,SEINE-ET-MARNE,CREGY LES MEAUX,PU,148,"10,9"
0772274D,COLLEGE LA GRANGE DU BOIS,CRETEIL,SEINE-ET-MARNE,SAVIGNY LE TEMPLE,PU,137,"10,1"
0772293Z,COLLEGE MARIE LAURENCIN,CRETEIL,SEINE-ET-MARNE,OZOIR LA FERRIERE,PU,121,"9,7"
0772330P,COLLEGE PABLO PICASSO,CRETEIL,SEINE-ET-MARNE,CHAMPS SUR MARNE,PU,120,"11,7"
0772331R,COLLEGE MONTHETY,CRETEIL,SEINE-ET-MARNE,PONTAULT COMBAULT,PU,138,"11,3"
0772396L,COLLEGE MARIA CALLAS,CRETEIL,SEINE-ET-MARNE,COURTRY,PU,131,"10,5"
0772413E,COLLEGE ANNE FRANK,CRETEIL,SEINE-ET-MARNE,BUSSY ST GEORGES,PU,135,"10,9"
0772427V,COLLEGE CHRISTINE DE PISAN,CRETEIL,SEINE-ET-MARNE,PERTHES,PU,136,"11,3"
0772429X,COLLEGE DE LA PYRAMIDE,CRETEIL,SEINE-ET-MARNE,LIEUSAINT,PU,80,"9,8"
0772481D,COLLEGE MARIE CURIE,CRETEIL,SEINE-ET-MARNE,PROVINS,PU,71,"10,8"
0772482E,COLLEGE VICTOR SCHOELCHER,CRETEIL,SEINE-ET-MARNE,TORCY,PU,99,"10,4"
0772483F,COLLEGE NICOLAS TRONCHON,CRETEIL,SEINE-ET-MARNE,SAINT SOUPPLETS,PU,82,"9,9"
0772499Y,COLLEGE DE LA DHUIS,CRETEIL,SEINE-ET-MARNE,NANTEUIL LES MEAUX,PU,173,"11,0"
0772548B,COLLEGE LES BLES D'OR,CRETEIL,SEINE-ET-MARNE,BAILLY ROMAINVILLIERS,PU,124,"12,8"
0772573D,COLLEGE ERIK SATIE,CRETEIL,SEINE-ET-MARNE,MITRY MORY,PU,201,"10,5"
0772574E,COLLEGE VASCO DE GAMA,CRETEIL,SEINE-ET-MARNE,SAINT PIERRE LES NEMOURS,PU,65,"11,9"
0772588V,COLLEGE CLAUDE MONET,CRETEIL,SEINE-ET-MARNE,BUSSY ST GEORGES,PU,164,"12,3"
0772589W,COLLEGE MADELEINE RENAUD,CRETEIL,SEINE-ET-MARNE,SERRIS,PU,162,"10,9"
0772601J,COLLEGE PRIVE MAURICE RONDEAU,CRETEIL,SEINE-ET-MARNE,BUSSY ST GEORGES,PR,90,"14,4"
0772651N,COLLEGE LE VIEUX CHENE,CRETEIL,SEINE-ET-MARNE,CHESSY,PU,115,"10,9"
0772713F,COLLEGE JACQUELINE DE ROMILLY,CRETEIL,SEINE-ET-MARNE,MAGNY LE HONGRE,PU,163,"12,4"
0772714G,COLLEGE STEPHANE HESSEL,CRETEIL,SEINE-ET-MARNE,SAINT GERMAIN SUR MORIN,PU,134,"11,5"
0772819W,COLLEGE LUCIE AUBRAC,CRETEIL,SEINE-ET-MARNE,MONTEVRAIN,PU,139,"11,5"
0772867Y,COLLEGE COLONEL ARNAUD BELTRAME,CRETEIL,SEINE-ET-MARNE,VULAINES SUR SEINE,PU,125,"12,0"
0772868Z,COLLEGE MARTHE SIMARD,CRETEIL,SEINE-ET-MARNE,VILLEPARISIS,PU,111,"10,4"
0780002D,COLLEGE ST EXUPERY,VERSAILLES,YVELINES,ANDRESY,PU,201,"10,7"
0780032L,COLLEGE FLORA TRISTAN,VERSAILLES,YVELINES,CARRIERES SOUS POISSY,PU,133,"8,2"
0780033M,COLLEGE LES AMANDIERS,VERSAILLES,YVELINES,CARRIERES SUR SEINE,PU,173,"13,1"
0780036R,COLLEGE VICTOR HUGO,VERSAILLES,YVELINES,LA CELLE ST CLOUD,PU,135,"10,5"
0780050F,COLLEGE DU BOIS D'AULNE,VERSAILLES,YVELINES,CONFLANS STE HONORINE,PU,185,"10,6"
0780112Y,COLLEGE LE PRIEURE,VERSAILLES,YVELINES,MAISONS LAFFITTE,PU,92,"13,1"
0780116C,COLLEGE LES PLAISANCES,VERSAILLES,YVELINES,MANTES LA VILLE,PU,187,"8,9"
0780119F,COLLEGE LOUIS LUMIERE,VERSAILLES,YVELINES,MARLY LE ROI,PU,244,"11,9"
0780179W,COLLEGE J-B DE LA QUINTINYE,VERSAILLES,YVELINES,NOISY LE ROI,PU,145,"13,4"
0780180X,COLLEGE JULES VERNE,VERSAILLES,YVELINES,LES MUREAUX,PU,131,"8,2"
0780183A,COLLEGE MONTAIGNE,VERSAILLES,YVELINES,CONFLANS STE HONORINE,PU,188,"10,7"
0780184B,COLLEGE JEAN RACINE,VERSAILLES,YVELINES,VIROFLAY,PU,166,"13,3"
0780185C,COLLEGE DESCARTES,VERSAILLES,YVELINES,FONTENAY LE FLEURY,PU,140,"10,9"
0780186D,COLLEGE JEAN RACINE,VERSAILLES,YVELINES,SAINT CYR L ECOLE,PU,139,"10,7"
0780187E,COLLEGE YOURI GAGARINE,VERSAILLES,YVELINES,TRAPPES,PU,94,"7,3"
0780210E,COLLEGE ST EXUPERY,VERSAILLES,YVELINES,VELIZY VILLACOUBLAY,PU,149,"11,3"
0780254C,COLLEGE FRANCOIS MAURIAC,VERSAILLES,YVELINES,HOUDAN,PU,170,"10,7"
0780255D,COLLEGE ALBERT THIERRY,VERSAILLES,YVELINES,LIMAY,PU,154,"7,5"
0780256E,COLLEGE LE RACINAY,VERSAILLES,YVELINES,RAMBOUILLET,PU,141,"11,0"
0780258G,COLLEGE COLETTE,VERSAILLES,YVELINES,SARTROUVILLE,PU,197,"10,9"
0780260J,COLLEGE LEON BLUM,VERSAILLES,YVELINES,VILLEPREUX,PU,188,"12,5"
0780261K,COLLEGE MOZART,VERSAILLES,YVELINES,BOIS D ARCY,PU,170,"12,0"
0780262L,COLLEGE MAURICE RAVEL,VERSAILLES,YVELINES,MONTFORT L AMAURY,PU,189,"11,8"
0780263M,COLLEGE PIERRE ET MARIE CURIE,VERSAILLES,YVELINES,LE PECQ,PU,135,"11,5"
0780264N,COLLEGE LES GRANDS CHAMPS,VERSAILLES,YVELINES,POISSY,PU,116,"9,2"
0780265P,COLLEGE MARYSE BASTIE,VERSAILLES,YVELINES,VELIZY VILLACOUBLAY,PU,131,"10,9"
0780267S,COLLEGE JEAN ZAY,VERSAILLES,YVELINES,VERNEUIL SUR SEINE,PU,153,"9,8"
0780269U,COLLEGE GUY DE MAUPASSANT,VERSAILLES,YVELINES,HOUILLES,PU,194,"11,6"
0780418F,COLLEGE PIERRE DE COUBERTIN,VERSAILLES,YVELINES,CHEVREUSE,PU,199,"12,0"
0780419G,COLLEGE LOUIS PERGAUD,VERSAILLES,YVELINES,MAUREPAS,PU,155,"10,2"
0780420H,COLLEGE BLAISE PASCAL,VERSAILLES,YVELINES,PLAISIR,PU,146,"8,7"
0780504Z,COLLEGE PASTEUR,VERSAILLES,YVELINES,LA CELLE ST CLOUD,PU,105,"12,6"
0780506B,COLLEGE ARTHUR RIMBAUD,VERSAILLES,YVELINES,AUBERGENVILLE,PU,156,"9,8"
0780507C,COLLEGE AUGUSTE RENOIR,VERSAILLES,YVELINES,CHATOU,PU,145,"11,0"
0780512H,COLLEGE PHILIPPE DE CHAMPAIGNE,VERSAILLES,YVELINES,LE MESNIL ST DENIS,PU,139,"9,6"
0780514K,COLLEGE LE VILLAGE,VERSAILLES,YVELINES,TRAPPES,PU,160,"7,9"
0780569V,COLLEGE LA VAUCOULEURS,VERSAILLES,YVELINES,MANTES LA VILLE,PU,139,"10,1"
0780571X,COLLEGE HENRI IV,VERSAILLES,YVELINES,MEULAN EN YVELINES,PU,164,"9,0"
0780572Y,COLLEGE PAUL VERLAINE,VERSAILLES,YVELINES,LES MUREAUX,PU,131,"8,0"
0780573Z,COLLEGE LES CHATELAINES,VERSAILLES,YVELINES,TRIEL SUR SEINE,PU,162,"11,1"
0780574A,COLLEGE LES MOLIERES,VERSAILLES,YVELINES,LES ESSARTS LE ROI,PU,195,"10,9"
0780575B,COLLEGE PAUL BERT,VERSAILLES,YVELINES,CHATOU,PU,114,"12,5"
0780577D,COLLEGE ROMAIN ROLLAND,VERSAILLES,YVELINES,SARTROUVILLE,PU,100,"8,0"
0780578E,COLLEGE PABLO PICASSO,VERSAILLES,YVELINES,MONTESSON,PU,174,"11,9"
0780579F,COLLEGE DARIUS MILHAUD,VERSAILLES,YVELINES,SARTROUVILLE,PU,102,"10,6"
0780580G,COLLEGE PIERRE DE NOLHAC,VERSAILLES,YVELINES,VERSAILLES,PU,144,"13,6"
0780581H,COLLEGE PAUL ELUARD,VERSAILLES,YVELINES,GUYANCOURT,PU,126,"8,4"
0780656P,COLLEGE BENJAMIN FRANKLIN,VERSAILLES,YVELINES,EPONE,PU,157,"10,3"
0780707V,COLLEGE MARCEL PAGNOL,VERSAILLES,YVELINES,BONNIERES SUR SEINE,PU,193,"9,2"
0780708W,COLLEGE JULES FERRY,VERSAILLES,YVELINES,MANTES LA JOLIE,PU,136,"9,8"
0780709X,COLLEGE DE LA MAULDRE,VERSAILLES,YVELINES,MAULE,PU,210,"11,2"
0780712A,COLLEGE GEORGES BRASSENS,VERSAILLES,YVELINES,SAINT ARNOULT EN YVELINES,PU,165,"10,7"
0780713B,COLLEGE FRANCOIS RABELAIS,VERSAILLES,YVELINES,BEYNES,PU,190,"11,1"
0780714C,COLLEGE LES HAUTS GRILLETS,VERSAILLES,YVELINES,SAINT GERMAIN EN LAYE,PU,189,"12,5"
0780715D,COLLEGE MARTIN LUTHER KING,VERSAILLES,YVELINES,BUC,PU,164,"13,3"
0780718G,COLLEGE RAYMOND POINCARE,VERSAILLES,YVELINES,VERSAILLES,PU,111,"11,7"
0780720J,COLLEGE ALEXANDRE DUMAS,VERSAILLES,YVELINES,MAUREPAS,PU,146,"11,6"
0780758A,COLLEGE ALBERT CAMUS,VERSAILLES,YVELINES,GARGENVILLE,PU,161,"9,7"
0780760C,COLLEGE LA FOSSE AUX DAMES,VERSAILLES,YVELINES,LES CLAYES SOUS BOIS,PU,102,"10,9"
0780761D,COLLEGE GUILLAUME APOLLINAIRE,VERSAILLES,YVELINES,PLAISIR,PU,158,"11,3"
